Experiment,Grid Size,Reaction Time (seconds)
1,3,0.8416769504547119
1,10,0.9796290397644043
1,6,0.7791640758514404
1,5,0.9851298332214355
1,7,0.911747932434082
1,8,0.9464430809020996
1,10,0.9301397800445557
1,7,0.7949709892272949
1,6,0.5611293315887451
1,10,1.4435491561889648
1,9,1.6288702487945557
1,7,1.5278468132019043
1,5,1.3224058151245117
1,4,0.5627210140228271
1,5,0.7627248764038086
2,7,0.8889327049255371
2,5,1.4625048637390137
2,4,5.162765979766846
2,4,0.6957743167877197
1,6,0.10683012008666992
1,6,2.1106021404266357
1,3,3.868746042251587
1,9,1.4780900478363037
2,8,0.9365689754486084
2,10,0.8627016544342041
2,5,0.5294618606567383
2,7,0.7292656898498535
3,9,3.588222026824951
3,3,0.8126468658447266
3,5,1.2788159847259521
3,7,2.679352045059204
